Breed ,Dog_Size,Dog_Breed_Group,Height,Avg_Height,Weight,Avg_Weight,Avg_weight_kg,Life_Span,Avg_Life_Span,Adaptability,Apartment_Living,Novice_Owners,Sensitivity,Tolerates_Being_Alone,Cold_Weather,Hot_Weather,Overall_Friendliness,Affectionate_Family,Kid_Friendly,Dog_Friendly,Friendly_To_Strangers,Health_Grooming_Needs,Shedding,Drooling,Easy_To_Groom,Health,Weight_Gain,Size,Trainability,Easy_To_Train,Intelligence,Mouthiness,Prey_Drive,Bark_Tendency,Wanderlust,Physical_Needs,Energy_Level,Intensity,Exercise,Playfulness,Image
Coton de Tulear,Small,Companion Dogs,8 to 12 inches tall at the shoulder,25.4,8 to 13 pounds,10,4.73,Starts at 14 years,14,3.6,5,4,5,1,3,3,5,5,5,5,5,2.4,1,1,2,5,3,1,2.6,3,4,3,1,2,3,2.67,3,2,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_23230_coton-de-tulear-300x189.jpg
Croatian Sheepdog,Large,Herding Dogs,16 to 21 inches,46.99,29 to 45 pounds,37,16.65,12 to 14 years,13,3,3,2,3,3,4,2,3,4,3,2,2,3.4,5,3,2,4,3,3,3.6,3,4,4,3,4,3,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2020/05/croatian-sheepdog-breed-pictures-cover-650x368.jpg
Curly-Coated Retriever,Very Large,Sporting Dogs,23 inches to 27 inches tall at the shoulder,63.5,65 to 100 pounds,82,37.12,9 to 12 years,10,2.8,1,3,3,3,4,4,4.67,5,5,4,3,2.6,3,2,3,2,3,3,4.4,4,5,5,5,3,4,4,5,3,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_22964_curly-coated-retriever-300x189.jpg
Dachsador,Large,Mixed Breed Dogs,15 to 25 inches,50.8,30 to 40 pounds,35,15.75,12 to 14 years,13,2.8,4,2,3,2,3,3,3.67,4,4,3,4,3,2,1,4,4,4,2,3,3,4,2,4,2,4,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/09/dachsador-mixed-dog-breed-pictures-cover-650x368.jpg
Dachshund,Medium,Hound Dogs,8 inches to 9 inches tall at the shoulder,21.59,16 to 32 pounds,24,10.8,12 to 15 years,14,3.4,5,4,4,3,1,3,4,4,5,3,1,2.8,3,1,3,2,5,1,4,2,4,4,5,5,5,3,3,3,3,4,https://www.dogtime.com/assets/uploads/2011/01/file_23020_dachshund-dog-breed-300x189.jpg
Dalmatian,Very Large,Companion Dogs,19 to 24 inches tall at the shoulder,54.61,48 to 55 pounds,51,23.18,13 to 16 years,14,3,2,3,4,3,3,4,4.33,5,4,4,3,3.8,5,1,5,4,4,3,2.8,4,4,2,2,2,4,4.67,5,4,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23146_dalmatian-300x189.jpg
Dandie Dinmont Terrier,Medium,Terrier Dogs,8 to 11 inches tall at the shoulder,24.13,18 to 24 pounds,21,9.45,12 to 15 years,14,3.2,4,4,3,2,3,3,4,5,4,3,3,2.6,3,1,2,3,4,1,2.8,2,3,3,4,2,3,2.67,3,3,2,4,https://www.dogtime.com/assets/uploads/2011/01/file_23064_dandie-dinmont-terrier-300x189.jpg
Daniff,Very Large,Mixed Breed Dogs,27 to 33 inches,76.2,115 to 190 pounds,151,68.62,8 to 12 years,10,2.4,2,2,3,1,4,3,4.33,5,4,4,3,2.6,2,4,1,3,3,5,2.6,4,4,2,2,1,2,3.67,3,4,4,4,https://www.dogtime.com/assets/uploads/2019/11/daniff-mixed-dog-breed-pictures-cover-650x368.jpg
Danish-Swedish Farmdog,Medium,Working Dogs,12 to 15 inches,34.29,15 to 20 pounds,17,7.88,11 to 13 years,12,3.2,3,2,3,4,4,4,5,5,5,5,3,3.6,5,1,4,5,3,2,4,5,4,2,5,4,1,4,4,3,5,4,https://www.dogtime.com/assets/uploads/2020/08/danish-swedish-farmdog-breed-pictures-cover-650x368.jpg
Deutscher Wachtelhund,Very Large,Sporting Dogs,18 to 21 inches,49.53,40 to 55 pounds,47,21.38,12 to 14 years,13,2.8,3,3,2,2,4,3,4.33,5,4,4,3,3,3,2,3,5,2,4,3.6,4,4,3,4,3,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/10/Deutscher-Wachtelhund-dog-breed-pictures-cover-650x368.jpg
Doberdor,Very Large,Mixed Breed Dogs,24 to 28 inches,66.04,60 to 100 pounds,79,36,10 to 14 years,12,1.8,1,1,3,2,2,4,3,3,3,3,1,3,1,2,4,4,4,5,3.2,1,4,3,4,4,4,4.67,5,4,5,4,https://www.dogtime.com/assets/uploads/2019/08/doberdor-mixed-breed-dog-pictures-cover-650x368.jpg
Doberman Pinscher,Very Large,Working Dogs,24 to 28 inches tall at the shoulder,66.04,60 to 80 pounds,69,31.5,10 to 13 years,12,2.8,3,3,5,2,1,4,3,5,3,1,3,3.4,4,4,5,1,3,4,2.8,5,5,2,1,1,2,3,3,3,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_22920_doberman-pinscher-300x189.jpg
Docker,Large,Mixed Breed Dogs,9 to 15 inches ,30.48,20 to 30 Pounds ,25,11.25,12 to 14 Years,13,2.8,3,2,4,2,3,3,3.67,5,3,3,2,2.8,3,2,3,3,3,2,4.2,3,4,5,5,4,5,3,3,3,3,4,https://www.dogtime.com/assets/uploads/2019/07/docker-mixed-dog-breed-pictures-cover-650x368.jpg
Dogo Argentino,Very Large,Sporting Dogs,23 to 27 inches,63.5,80 to 100 pounds,89,40.5,9 to 15 years,12,1.8,1,1,3,2,2,4,2.67,4,2,2,2,2.6,1,3,4,3,2,4,2.8,2,3,2,5,2,4,4,4,4,4,3,https://www.dogtime.com/assets/uploads/2017/12/dogo-argentino-breed-pictures-7-650x368.jpg
Dogue de Bordeaux,Very Large,Working Dogs,23 to 27 inches tall at the shoulder,63.5,Starts at 100 pounds,99,45,8 to 12 years,10,3,5,1,4,2,3,2,3.67,5,5,1,1,3.8,3,5,5,2,4,4,3,2,3,4,4,2,1,3,2,2,5,3,https://www.dogtime.com/assets/uploads/2011/01/file_23252_dogue-de-bordeaux-dog-breed-300x189.jpg
Dorgi,Medium,Mixed Breed Dogs,9 to12 inches,26.67,15 to 28 pounds,21,9.68,12 to 15 years,14,3.2,4,4,3,1,4,3,4,4,4,4,3,3.2,2,2,4,4,4,2,3.4,3,4,4,3,3,3,4,4,4,4,5,https://www.dogtime.com/assets/uploads/2019/08/dorgi-mixed-dog-breed-pictures-cover-650x368.jpg
Dorkie,Small,Mixed Breed Dogs,5 to 10 inches,19.05,5 to 12 pounds,8,3.82,13 to 16 years,14,3.4,5,4,4,2,2,2,4,4,4,4,4,2,3,1,2,2,2,1,2.8,3,4,2,3,2,2,2,2,2,2,3,https://www.dogtime.com/assets/uploads/2020/01/dorkie-mixed-dog-breed-pictures-cover-650x368.jpg
Doxiepoo,Medium,Mixed Breed Dogs,8 to 23 inches,39.37,5 to 30 pounds,17,7.88,10 to 15 years,12,3.4,5,3,4,2,3,3,2.67,5,2,1,3,3,3,,3,2,4,2,4,3,5,3,4,5,4,4,4,4,4,5,https://www.dogtime.com/assets/uploads/2019/08/doxiepoo-mixed-dog-breed-pictures-cover-650x368.jpg
Doxle,Medium,Mixed Breed Dogs,5 to 15 inches,25.4,11 to 30 pounds,20,9.22,12 to 14 years,13,2.6,2,4,4,1,2,4,4.67,5,4,5,4,3.6,5,1,4,4,4,2,4,3,4,3,5,5,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2019/08/doxle-mixed-dog-breed-pictures-cover-650x368.jpg
Drentsche Patrijshond,Very Large,Working Dogs,21 to 25 inches,58.42,40 to 60 pounds,50,22.5,11 to 14 years old,12,3.2,3,2,4,3,4,3,4.33,5,4,4,3,3.2,4,3,3,4,2,3,3,2,4,3,4,2,1,4,5,3,4,4,https://www.dogtime.com/assets/uploads/2019/10/Drentsche-Patrijshond-dog-breed-pictures-cover-650x368.jpg
Drever,Large,Hound Dogs,12 to 16 inches,35.56,35 to 40 pounds,37,16.88,12 to 15 years,14,2.6,4,3,2,2,2,3,4.67,5,5,4,3,3.2,3,2,3,5,3,3,3.6,3,4,4,3,4,2,4,5,3,4,4,https://www.dogtime.com/assets/uploads/2019/11/drever-dog-breed-pictures-cover-650x368.jpg
Dutch Shepherd,Very Large,Herding Dogs,21 to 25 inches,58.42,50 to 70 pounds,60,27,12 to 15 years,14,3,3,3,3,2,4,4,4,4,4,4,2,3,4,2,3,4,2,3,3.2,5,4,2,3,2,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2018/01/dutch-shepherd-dog-breed-pictures-cover-650x368.jpg
English Cocker Spaniel,Large,Sporting Dogs,15 inches to 17 inches tall at the shoulder,40.64,26 to 34 pounds,30,13.5,12 to 14 years,13,3.8,5,4,5,1,4,3,5,5,5,5,5,3.2,3,1,3,4,5,2,4.2,4,5,3,5,4,4,4,5,3,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_22966_english-cocker-spaniel-300x189.jpg
English Foxhound,Very Large,Hound Dogs,25 to 27 inches tall at the shoulder,66.04,55 to 75 pounds,64,29.25,10 to 13 years,12,2.6,1,2,3,4,3,3,4.33,4,4,5,3,3,3,1,5,4,2,3,3.8,3,3,4,5,4,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23022_english-foxhound-300x189.jpg
English Setter,Very Large,Sporting Dogs,23 inches to 27 inches tall at the shoulder,63.5,45 to 80 pounds,62,28.12,11 to 15 years,13,2.6,1,3,4,1,4,3,5,5,5,5,5,3.2,3,2,3,3,5,3,4.2,3,5,4,5,4,5,3.67,4,2,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22968_english-setter-300x189.jpg
English Springer Spaniel,Very Large,Sporting Dogs,18 inches to 22 inches tall at the shoulder,50.8,45 to 55 pounds,50,22.5,9 to 15 years,12,2.4,1,3,4,1,3,4,5,5,5,5,4,2.4,3,1,2,3,3,3,4.2,5,5,3,5,3,4,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22970_english-springer-spaniel-300x189.jpg
English Toy Spaniel,Small,Companion Dogs,10 to 11 inches tall at the shoulder,26.67,8 to 14 pounds,11,4.95,10 to 12 years,11,3,4,4,4,1,2,2,3.33,5,1,4,4,3.2,5,2,4,2,3,2,3.4,3,3,4,4,3,2,2.67,3,3,2,4,https://www.dogtime.com/assets/uploads/2011/01/file_23106_english-toy-spaniel-300x189.jpg
Entlebucher Mountain Dog,Very Large,Herding Dogs,16 to 20 inches tall at the shoulder,45.72,45 to 65 pounds,55,24.75,10 to 13 years,12,2.8,1,2,4,3,4,2,4.33,5,5,3,2,3,3,1,5,3,3,3,4,3,4,4,4,5,3,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23262_entlebucher-mountain-dog-300x189.jpg
Estrela Mountain Dog,Very Large,Herding Dogs,24 to 30 inches,68.58,75 to 130 pounds,102,46.12,11 to 15 years,13,2.6,1,3,2,3,4,3,4.33,5,5,3,2,3.2,4,3,2,4,3,4,3,4,5,2,1,3,1,3,3,3,3,3,https://www.dogtime.com/assets/uploads/2019/11/estrela-mountain-dog-breed-pictures-cover-650x368.jpg
Eurasier,Very Large,Companion Dogs,20 to 24 Inches,55.88,40 to 71 lbs,55,24.98,12 to 14 years,13,2.8,4,3,2,1,4,3,4,3,5,4,2,3.2,4,3,3,4,2,4,2.6,4,4,2,1,2,1,2.67,3,2,3,3,https://www.dogtime.com/assets/uploads/2019/08/eurasier-dog-breed-pictures-cover-650x368.jpg
Field Spaniel,Large,Sporting Dogs,16 inches to 19 inches tall at the shoulder,44.45,37 to 45 pounds,41,18.45,10 to 12 years,11,2.4,1,3,4,1,3,4,4.67,5,5,4,4,3,3,1,4,3,4,2,3.8,5,5,3,4,2,5,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22972_field-spaniel-300x189.jpg
Fila Brasileiro,Very Large,Working Dogs,24 to 30 inches,68.58,90 to 180 pounds,134,60.75,9 to 12 years,10,2,1,1,3,3,2,3,2.67,3,3,2,1,3.2,2,3,4,3,4,5,3.4,2,4,3,5,3,3,4,4,4,4,2,https://www.dogtime.com/assets/uploads/2020/06/Fila-Brasileiro-dog-breed-pictures-1-650x433.jpg
Finnish Lapphund,Large,Herding Dogs,17 to 20 inches tall at the shoulder,46.99,33 to 53 pounds,43,19.35,12 to 15 years,14,3.8,4,4,4,2,5,2,5,5,5,5,4,3.2,3,1,4,4,4,3,4.2,5,5,4,4,3,4,4.67,5,5,4,5,https://www.dogtime.com/assets/uploads/2011/01/file_23258_finnish-lapphund-300x189.jpg
Finnish Spitz,Large,Sporting Dogs,15 to 20 inches tall at the shoulder,44.45,20 to 35 pounds,27,12.38,12 to 15 years,14,3,3,3,3,1,5,3,5,5,5,5,3,2.8,4,1,2,4,3,3,3.6,3,4,3,3,5,4,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23148_finnish-spitz-300x189.jpg
Flat-Coated Retriever,Very Large,Sporting Dogs,22 inches to 24 inches tall at the shoulder,58.42,55 to 70 pounds,62,28.12,10 to 12 years,11,2.6,1,2,5,1,4,4,5,5,5,5,5,3.4,3,2,4,4,4,3,3.8,4,5,3,3,4,4,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22974_flat-coated-retriever-300x189.jpg
Fox Terrier,Medium,Terrier Dogs,Up to 15 inches tall at the shoulder,38.1,15 to 19 pounds,17,7.65,10 to 15 years,12,3,3,3,3,3,3,4,3.67,4,4,3,3,2.2,2,1,2,4,2,2,4.2,5,5,3,5,3,3,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23094_fox-terrier-300x189.jpg
French Bulldog,Medium,Companion Dogs,11 to 12 inches tall at the shoulder,29.21,16 to 28 pounds,22,9.9,11 to 14 years,12,3.2,5,5,3,1,2,1,4.33,5,4,4,4,3,3,1,5,2,4,2,3,4,3,3,2,3,2,3,3,4,2,5,https://www.dogtime.com/assets/uploads/2011/01/file_23150_french-bulldog-300x189.jpg
French Bullhuahua,Medium,Mixed Breed Dogs,6 to 12 inches,22.86,10 to 30 pounds,20,9,10 to 15 years,12,2.8,4,3,3,2,2,4,3,4,3,2,3,3.6,3,2,4,4,5,1,3.4,3,3,4,3,4,2,3,3,3,3,4,https://www.dogtime.com/assets/uploads/2020/03/french-bullhuahua-mixed-dog-breed-pictures-cover-650x368.jpg
French Spaniel,Very Large,Sporting Dogs,21 to 24 inches.,57.15,45 to 60 pounds.,52,23.62,10 to 12 years.,11,3.4,2,4,4,3,4,2,4.33,5,4,4,4,2.8,3,2,3,4,2,3,3,4,4,2,3,2,2,4,5,3,4,4,https://www.dogtime.com/assets/uploads/2019/08/french-spaniel-dog-breed-picture-cover-650x368.jpg
Frenchton,Medium,Mixed Breed Dogs,11 to 14 inches,31.75,15 to 25 pounds,20,9,12 to 15 years,14,3.6,5,5,3,2,3,3,5,5,5,5,5,3.6,4,3,5,4,2,2,3,4,4,2,2,3,3,3,3,3,3,5,https://www.dogtime.com/assets/uploads/2020/01/frenchton-mixed-dog-breed-pictures-cover-650x368.jpg
Frengle,Medium,Mixed Breed Dogs,8 to 15 inches,29.21,18 to 30 pounds,24,10.8,10 to 15 years,12,3.4,4,4,4,3,2,2,4.67,5,5,4,4,3.4,3,1,5,4,4,3,3,3,4,3,3,2,3,3.67,4,3,4,5,https://www.dogtime.com/assets/uploads/2020/02/frengle-mixed-dog-breed-pictures-cover-650x368.jpg
German Longhaired Pointer,Very Large,Sporting Dogs,23 to 28 inches,64.77,60 to 71 pounds,65,29.48,11 to 14 years,12,2.6,2,2,3,3,3,2,4.33,5,4,4,4,3.6,2,3,5,4,4,4,3.2,4,4,2,3,3,4,4.33,5,3,5,3,https://www.dogtime.com/assets/uploads/2020/05/german-longhaired-pointer-dog-breed-pictures-cover-650x368.jpg
German Pinscher,Large,Working Dogs,17 to 20 inches tall at the shoulder,46.99,25 to 45 pounds,35,15.75,12 to 14 years,13,3.2,3,3,4,3,3,4,3.33,5,3,2,2,3.2,3,1,5,4,3,3,4,4,5,3,5,3,4,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22922_german-pinscher-300x189.jpg
German Shepherd Dog,Very Large,Herding Dogs,22 inches to 26 inches tall at the shoulder,60.96,75 to 95 pounds,84,38.25,10 to 14 years,12,3.2,3,2,5,2,4,3,4,5,5,2,4,3.4,5,1,5,4,2,4,4.6,5,5,5,4,4,2,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23188_german-shepherd-dog-300x189.jpg
German Shepherd Pit Bull,Very Large,Mixed Breed Dogs,17 to 26 inches ,54.61,30 to 90 pounds ,60,27,10 to 12 years ,11,2,1,1,4,1,3,3,4.67,5,5,4,4,3.8,5,1,5,4,4,4,4.6,5,5,5,4,4,3,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2020/02/german-shepherd-pit-bull-mixed-dog-breed-pictures-COVER-650x368.jpg
German Shepherd Rottweiler Mix,Very Large,Mixed Breed Dogs,22 to 28 inches,63.5,75 to 115 pounds,94,42.75,9 to 13 years,11,3.4,3,4,3,3,4,2,3.67,4,4,3,3,3.6,5,3,3,3,4,4,3.2,3,4,3,3,3,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2020/04/german-shepherd-rottweiler-mixed-dog-breed-pictures-cover-650x368.jpg
German Sheprador,Very Large,Mixed Breed Dogs,20 to 27 inches ,59.69,60 to 95 pounds ,77,34.88,10 to 12 years ,11,2.8,2,1,5,2,4,4,4.67,5,5,4,4,3.6,5,2,5,3,3,4,4,5,5,5,3,2,2,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2019/09/german-sheprador-mixed-dog-breed-pictures-cover-650x368.jpg
German Shorthaired Pointer,Very Large,Sporting Dogs,21 inches to 25 inch tall at the shoulder,58.42,45 to 70 pounds,57,25.88,12 to 15 years,14,2,1,2,4,1,2,4,4.67,5,5,4,3,3,2,2,5,3,3,3,4.4,5,5,4,5,3,5,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22976_german-shorthaired-pointer-300x189.jpg
German Spitz,Large,Companion Dogs,12 to 15 inches,34.29,21 to 29 pounds,25,11.25,13 to 15 years,14,3,4,2,3,3,3,2,4,5,4,3,3,3,4,1,2,4,4,1,3.8,2,4,4,5,4,2,4,5,3,4,4,https://www.dogtime.com/assets/uploads/2019/10/german-spitz-dog-breed-pictures-cover-650x368.jpg
German Wirehaired Pointer,Very Large,Sporting Dogs,22 inches to 26 inches tall at the shoulder,60.96,60 to 70 pounds,64,29.25,12 to 14 years,13,2.8,2,3,4,2,3,4,3.67,5,3,3,2,3,2,2,4,4,3,4,4,4,5,4,4,3,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22978_german-wirehaired-pointer-300x189.jpg
Giant Schnauzer,Very Large,Working Dogs,23 to 27 inches tall at the shoulder,63.5,55 to 80 pounds,67,30.38,10 to 12 years,11,2.4,1,1,4,2,4,2,3.67,5,3,3,2,2.8,4,1,2,4,3,4,4,5,4,3,4,4,4,4,5,2,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22924_giant-schnauzer-300x189.jpg
Glen of Imaal Terrier,Large,Terrier Dogs,12 to 14 inches tall at the shoulder,33.02,Up to 35 pounds,35,15.75,12 to 15 years,14,3,4,2,3,3,3,4,4,5,5,2,3,3,1,1,5,5,3,1,4,4,4,3,5,4,3,4.33,4,5,4,4,https://www.dogtime.com/assets/uploads/2011/01/file_23066_glen-of-imaal-terrier-300x189.jpg
Goberian,Very Large,Mixed Breed Dogs,20 to 24 inches,55.88,45 to 90 pounds,67,30.38,10 to 15 years,12,2.6,1,2,3,2,5,2,4,4,4,4,2,3.2,2,1,5,4,4,4,3.2,2,5,3,4,2,4,4.67,5,4,5,4,https://www.dogtime.com/assets/uploads/2019/07/goberian-mixed-dog-breed-pictures-cover-650x368.jpg
Goldador,Very Large,Hybrid Dogs,22 to 24 inches tall at the shoulder,58.42,60 to 80 pounds,69,31.5,10 to 15 years,12,3.6,2,4,3,4,5,4,5,5,5,5,5,3.2,3,2,4,4,3,4,2.6,4,5,2,1,1,4,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23214_goldador-300x189.jpg
Golden Cocker Retriever,Large,Mixed Breed Dogs,20 to 24 inches,55.88,30 to 45 pounds,37,16.88,12 to 15 years,14,2.4,1,4,4,1,2,4,4.33,5,4,4,3,3.4,4,1,4,4,4,3,3,4,4,2,2,3,4,3.67,5,2,4,5,https://www.dogtime.com/assets/uploads/2019/10/golden-cocker-retriever-mixed-dog-breed-pictures-cover-1-650x368.jpg
Golden Mountain Dog,Very Large,Mixed Breed Dogs,24 to 28 inches,66.04,75 to 120 pounds,97,43.88,9 to 15 years,12,2.4,1,2,2,2,5,1,4.67,5,5,4,3,3.4,4,4,2,3,4,5,3,4,4,2,2,3,4,3.67,4,2,5,5,https://www.dogtime.com/assets/uploads/2019/10/golden-mountain-dog-mixed-dog-breed-pictures-cover-650x368.jpg
Golden Retriever,Very Large,Sporting Dogs,21 to 24 inches tall at the shoulder,57.15,55 to 75 pounds,64,29.25,10 to 12 years,11,2.8,2,3,5,1,3,3,5,5,5,5,5,3.6,5,4,2,2,5,3,4.2,5,5,5,3,3,2,4,5,2,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22980_golden-retriever-300x189.jpg
Golden Retriever Corgi,Very Large,Mixed Breed Dogs,10 to 18 inches,35.56,30 to 75 pounds,52,23.62,10 to 13 years,12,3.2,3,4,3,3,3,3,4.67,5,5,4,4,3.4,4,3,3,3,4,3,3.2,4,4,3,2,3,2,3.33,4,3,3,5,https://www.dogtime.com/assets/uploads/2020/01/golden-retriever-corgi-mixed-dog-breed-pictures-cover-650x368.jpg
Golden Shepherd,Very Large,Mixed Breed Dogs,20 to 26 inches,58.42,55 to 85 pounds ,69,31.5,10 to 14 years,12,3,2,2,5,1,5,4,4.33,5,5,3,5,3,5,2,2,3,3,5,4.2,5,5,5,3,3,2,4.33,5,3,5,5,https://www.dogtime.com/assets/uploads/2019/11/German-Shepherd-Golden-Retriever-mixed-dog-breed-pictures-cover-650x368.jpg
Goldendoodle,Very Large,Hybrid Dogs,20 to 24 inches tall at the shoulder,55.88,50 to 90 pounds,69,31.5,10 to 15 years,12,3,1,4,4,3,3,3,5,5,5,5,4,2.6,2,1,4,3,3,4,2.8,4,5,1,1,3,3,4,4,3,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23204_goldendoodle-300x189.jpg
Gollie,Very Large,Mixed Breed Dogs,22 to 26 inches,60.96,50 to 75 pounds,62,28.12,12 to 15 years,14,2.6,1,4,3,2,3,3,4.67,5,5,4,4,3.2,4,2,3,3,4,3,2.8,4,4,2,2,2,4,4,5,3,4,5,https://www.dogtime.com/assets/uploads/2019/09/gollie-mixed-dog-breed-pictures-1-1-650x368.jpg
Gordon Setter,Very Large,Sporting Dogs,23 inches to 27 inches tall at the shoulder,63.5,45 to 80 pounds,62,28.12,10 to 12 years,11,2.8,2,3,4,1,4,3,3.33,5,3,2,3,3.4,5,3,2,4,3,3,4.4,5,5,3,4,5,4,4,5,2,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22982_gordon-setter-300x189.jpg
Great Dane,Very Large,Working Dogs,26 to 34 inches tall at the shoulder,76.2,100 to 200 pounds,149,67.5,7 to 10 years,8,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4,5,4,2,5,3.4,5,3,2,3,4,3,5,5,5,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_22926_great-dane-300x189.jpg
Great Pyrenees,Very Large,Working Dogs,25 to 32 inches tall at the shoulder,72.39,85 to 160 pounds,122,55.12,10 to 12 years,11,2.8,1,1,4,3,5,3,4.33,5,4,4,3,3.4,5,2,4,2,4,5,3.4,1,4,2,5,5,5,5,5,5,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23202_great-pyrenees-300x189.jpg
Greater Swiss Mountain Dog,Very Large,Working Dogs,23 to 28 inches tall at the shoulder,64.77,85 to 140 pounds,112,50.62,7 to 9 years,8,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1,5,2,4,5,3.4,3,3,3,4,4,3,4,5,4,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_22928_greater-swiss-mountain-dog-300x189.jpg
Greyador,Very Large,Mixed Breed Dogs,21 to 27 inches,60.96,50 to 80 pounds ,64,29.25,11 to 13 years,12,2.4,3,2,5,1,1,3,5,5,5,5,5,4.6,5,4,5,4,5,4,4.2,3,5,5,4,4,4,4,4,4,4,4,https://www.dogtime.com/assets/uploads/2020/02/greyador-mixed-dog-breed-pictures-COVER-650x368.jpg
Greyhound,Very Large,Hound Dogs,25 inch to 30 inches tall at the shoulder,69.85,50 to 85 pounds,67,30.38,12 to 15 years,14,2.6,4,2,5,1,1,5,4.67,5,5,4,5,4.6,4,5,5,4,5,4,4.2,5,5,4,5,2,5,4.33,5,3,5,4,https://www.dogtime.com/assets/uploads/2011/01/file_23024_greyhound-300x189.jpg
Hamiltonstovare,Very Large,Hound Dogs,19 to 24 inches,54.61,40 to 75 pounds,57,25.88,14 to 17 years,16,3,3,2,4,3,3,3,4,5,4,3,3,2.6,1,1,4,4,3,3,3.4,3,4,2,5,3,2,4,5,3,4,4,https://www.dogtime.com/assets/uploads/2019/12/Hamiltonstovare-dog-breed-pictures-cover-650x368.jpg
Hanoverian Scenthound,Very Large,Working Dogs,19 to 22 inches,52.07,80 to 100 pounds,89,40.5,12 to 14 years,13,2.6,2,1,4,3,3,3,4.67,5,5,4,3,2.8,2,1,4,4,3,4,3,2,4,2,4,3,2,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/11/Hanoverian-Scenthound-dog-breed-pictures-cover-650x368.jpg
Harrier,Very Large,Hound Dogs,19 to 21 inches tall at the shoulder,50.8,45 to 60 pounds,52,23.62,10 to 12 years,11,2.4,1,3,2,3,3,4,4.67,4,5,5,5,3.4,3,1,5,5,3,3,3.4,2,4,3,4,4,5,4.67,5,4,5,5,https://www.dogtime.com/assets/uploads/2011/01/file_23026_harrier-300x189.jpg
Havanese,Small,Companion Dogs,8 to 11 inches tall at the shoulder,24.13,7 to 13 pounds,10,4.5,12 to 15 years,14,3.6,5,5,4,1,3,4,4.67,5,4,5,5,2.2,2,1,1,3,4,2,3.6,5,4,3,4,2,2,2.67,3,2,3,5,https://www.dogtime.com/assets/uploads/2011/01/file_23108_havanese-300x189.jpg
Havapoo,Medium,Mixed Breed Dogs,8 to 15 inches,29.21,7 to 30 pounds,18,8.33,10 to 14 years,12,3.6,5,5,4,1,3,4,4.33,5,4,4,4,2,1,1,1,3,4,2,3.6,5,5,3,3,2,3,2.67,3,2,3,5,https://www.dogtime.com/assets/uploads/2020/11/havapoo-hybrid-dog-breed-pictures-cover-650x368.jpg
Hokkaido,Very Large,Working Dogs,18 to 22 Inches,50.8,45 to 65 Pounds,55,24.75,11 to 13 Years,12,3,3,2,2,3,5,2,3.67,4,4,3,3,3,4,2,1,5,3,3,3.4,3,4,3,4,3,3,2.67,3,2,3,3,https://www.dogtime.com/assets/uploads/2019/08/hokkaido-dog-breed-pictures-cover-650x368.jpg
Horgi,Large,Mixed Breed Dogs,12 to 15 inches ,34.29,20 to 50 pounds,35,15.75,12 to 15 years ,14,2.8,2,2,4,2,4,3,4.67,5,5,4,5,3,4,2,3,3,3,2,3.8,4,4,4,4,3,3,3.67,4,3,4,4,https://www.dogtime.com/assets/uploads/2019/08/horgi-mixed-dog-breed-pictures-cover-650x368.jpg
